framework_id,n_blocks,n_nodes,n_linkers,n_atoms_supercell,graph_diameter,n_influential,delta_alpha,delta_alpha_sd,alpha_min,alpha_max,asymmetry_A,asymmetry_sd,lcd_angstrom,pld_angstrom,mofid,source_url,provenance
hMOF-110,256,64,192,5184,62,519,1.1993,0.0072,1.8124,3.0118,-1.1061,0.0149,8.75,7.25,CCOc1c(ccc(c1OCC)C(=O)[O-])C(=O)[O-].CCOc1cc(cc(c1C(=O)[O-])OCC)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15448.json,"hMOF (hypothetical, not synthesised)"
hMOF-55,192,64,128,6080,59,608,1.2006,0.0211,1.8713,3.0719,-1.183,0.0202,9.25,7.75,CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC.CCc1cc(C(=O)[O-])c(cc1C(=O)[O-])CC.CCc1cc(cc(c1C(=O)[O-])CC)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15393.json,"hMOF (hypothetical, not synthesised)"
hMOF-113,256,64,192,6592,64,660,1.2023,0.0097,1.8267,3.0289,-1.198,0.0123,7.25,6.25,CCCOC1=CC(=C(C(=[C]1)[O])OCCC)C(=O)[O-].[O-][C]=O.[CH2]CC.CCCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCCC.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu,/mofs/15451.json,"hMOF (hypothetical, not synthesised)"
hMOF-2,432,108,324,5724,38,573,1.2028,0.017,2.139,3.3418,-1.2476,0.0293,4.25,2.25,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,/mofs/15345.json,"hMOF (hypothetical, not synthesised)"
hMOF-62,192,48,144,6000,54,600,1.2052,0.0167,1.9007,3.1059,-1.0857,0.0201,8.25,6.25,CCCc1c(CCC)c(C(=O)[O-])c(c(c1C(=O)[O-])CCC)CCC.CCCc1c(ccc(c1CCC)C(=O)[O-])C(=O)[O-].CCCc1cc(C(=O)[O-])c(cc1C(=O)[O-])CCC.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15400.json,"hMOF (hypothetical, not synthesised)"
hMOF-143,384,96,288,6048,40,605,1.2084,0.0144,2.0959,3.3043,-1.259,0.0137,4.25,2.75,ClOC(=O)C1=CC=C([C]=C1)C1=[C]C(=C(C=C1Cl)C(=O)[O-])Cl.[O-]C(=O)C1=CC(=C(C=[C]1)C(=O)[O-])Cl.[O-]C(=O)C1=[C]C=C(C(=C1)Cl)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,/mofs/15482.json,"hMOF (hypothetical, not synthesised)"
hMOF-115,256,64,192,6592,64,660,1.2089,0.0075,1.7965,3.0054,-1.2086,0.0151,7.75,6.25,CCCOc1c(ccc(c1OCCC)C(=O)[O-])C(=O)[O-].CCCOc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OCCC)[O].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15454.json,"hMOF (hypothetical, not synthesised)"
hMOF-27,432,108,324,5724,35,573,1.2165,0.0224,2.1641,3.3807,-1.2632,0.0218,3.25,2.75,[O-]C(=O)C1=CC(=C(C=[C]1)C(=O)[O-])Cl.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,/mofs/15365.json,"hMOF (hypothetical, not synthesised)"
hMOF-134,384,96,288,6048,40,605,1.2183,0.0161,2.1198,3.3381,-1.2394,0.0159,3.75,3.25,ClC1=C([C]=CC(=C1)C(=O)[O-])C1=[C]C(=C(C=C1)C(=O)[O-])Cl.[O-]C(=O)c1cc(Cl)c(c(c1)Cl)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,/mofs/15472.json,"hMOF (hypothetical, not synthesised)"
hMOF-56,256,64,192,5312,60,532,1.2204,0.019,1.7999,3.0203,-1.3456,0.0307,9.25,8.25,CCc1cc(cc(c1C(=O)[O-])CC)C(=O)[O-].CCc1cc(ccc1C(=O)[O-])C(=O)[O-].[O][C]c1ccc(c(c1CC)CC)C(=O)[O-].[O].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15395.json,"hMOF (hypothetical, not synthesised)"
hMOF-93,288,96,192,5568,52,557,1.2261,0.0126,1.9993,3.2253,-1.4825,0.0123,4.75,3.25,,/mofs/15432.json,"hMOF (hypothetical, not synthesised)"
hMOF-137,296,96,200,6048,40,605,1.228,0.0138,2.0878,3.3158,-1.2811,0.0133,4.25,3.75,ClOC(=O)C1=C[C]=C(C=C1)C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl.[O-]C(=O)C1=CC=C(C(=[C]1)Cl)C(=O)[O-].[O-]C(=O)C1=[C]C(=C(C=C1)C(=O)[O-])Cl.[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,/mofs/15476.json,"hMOF (hypothetical, not synthesised)"
hMOF-76,144,48,96,5424,56,543,1.2314,0.0203,1.8622,3.0937,-1.2078,0.028,7.25,4.75,,/mofs/15414.json,"hMOF (hypothetical, not synthesised)"
hMOF-60,256,64,192,6272,62,628,1.2327,0.0066,1.7989,3.0316,-1.2318,0.0134,8.75,7.75,CCCc1c([C][O])ccc(c1CCC)C(=O)[O-].[O].CCCc1c(ccc(c1CCC)C(=O)[O-])C(=O)[O-].CCCc1cc(ccc1C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15396.json,"hMOF (hypothetical, not synthesised)"
hMOF-114,256,64,192,5952,64,596,1.2412,0.0113,1.8148,3.056,-1.2591,0.0131,7.75,6.75,CCCOc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OCCC)[O].[CH2]CC.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1OCCC)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15452.json,"hMOF (hypothetical, not synthesised)"
hMOF-89,432,108,324,6264,39,627,1.242,0.0153,2.1464,3.3884,-1.2441,0.0179,3.25,2.75,,/mofs/15428.json,"hMOF (hypothetical, not synthesised)"
hMOF-140,384,96,288,6048,40,605,1.2451,0.0184,2.1126,3.3577,-1.2868,0.0184,4.25,3.25,ClOC(=O)C1=CC=C([C]=C1)C1=CC=C(C=[C]1)C(=O)[O-].[O-]C(=O)C1=C(Cl)[C]=C(C(=C1)Cl)C(=O)[O-].[O-]C(=O)C1=CC(=C([C]=C1Cl)C(=O)[O-])Cl.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,/mofs/15480.json,"hMOF (hypothetical, not synthesised)"
hMOF-84,327,108,219,6264,39,627,1.2462,0.0151,2.1015,3.3478,-1.2162,0.0245,3.25,2.75,,/mofs/15421.json,"hMOF (hypothetical, not synthesised)"
