framework_id,n_blocks,n_nodes,n_linkers,n_atoms_supercell,graph_diameter,n_influential,delta_alpha,delta_alpha_sd,alpha_min,alpha_max,asymmetry_A,asymmetry_sd,lcd_angstrom,pld_angstrom,mofid,source_url,provenance
acs.inorgchem.6b01416_ic6b01416_si_004_clean,288,144,144,5328,38,533,1.0538,0.0173,2.0771,3.1309,-1.1317,0.0168,6.69143,3.5273,,https://mof.tech.northwestern.edu/mofs/173915.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.inorgchem.6b01569_ic6b01569_si_002_clean,480,160,320,6560,73,656,1.1642,0.0071,2.0104,3.1746,-1.5127,0.011,6.29847,5.43889,,https://mof.tech.northwestern.edu/mofs/173916.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.inorgchem.6b01740_ic6b01740_si_002_clean,416,96,320,5280,66,528,0.9539,0.0121,1.8209,2.7748,-1.0771,0.0219,15.6805,8.0633,,https://mof.tech.northwestern.edu/mofs/173917.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.inorgchem.6b02407_ic6b02407_si_002_clean,164,160,4,5760,50,576,1.308,0.0063,2.0987,3.4067,-1.53,0.0109,6.36153,3.76503,,https://mof.tech.northwestern.edu/mofs/173919.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.inorgchem.6b02407_ic6b02407_si_003_clean,320,160,160,5760,60,576,1.2003,0.0147,1.958,3.1583,-1.5093,0.0143,6.24791,4.32537,,https://mof.tech.northwestern.edu/mofs/173920.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.inorgchem.6b02514_ic6b02514_si_002_clean,960,384,576,5952,47,596,1.2571,0.0119,1.9356,3.1926,-1.2935,0.0134,6.09101,5.53211,,https://mof.tech.northwestern.edu/mofs/173922.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.inorgchem.6b02696_ic6b02696_si_002_clean,800,288,512,5664,52,567,1.1329,0.0067,1.9839,3.1168,-1.3625,0.0088,12.1312,5.0609,,https://mof.tech.northwestern.edu/mofs/173923.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.jchemed.6b00258_ed6b00258_si_005_clean,720,288,432,6768,47,677,1.3981,0.0165,2.0025,3.4006,-0.848,0.0193,4.54949,3.31507,,https://mof.tech.northwestern.edu/mofs/173924.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.jpcc.6b04690_jp6b04690_si_005_clean,90,12,78,4104,69,411,1.011,0.0189,1.4981,2.5091,-1.1171,0.0241,7.34724,4.81711,,https://mof.tech.northwestern.edu/mofs/173925.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,528,48,480,5472,42,548,0.9747,0.0101,1.9138,2.8885,-0.997,0.0198,8.49751,4.07254,,https://mof.tech.northwestern.edu/mofs/173926.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,216,54,162,2862,40,287,0.9972,0.0214,1.9607,2.958,-1.3059,0.0173,14.7021,8.11021,,https://mof.tech.northwestern.edu/mofs/173927.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acscombsci.5b00188_24205_clean,600,288,312,5616,49,562,1.3252,0.0118,1.9475,3.2727,-1.4657,0.0072,5.32506,4.91361,,https://mof.tech.northwestern.edu/mofs/173928.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
acscombsci.5b00188_34903_clean,255,125,130,7000,45,700,1.3872,0.0215,2.0476,3.4348,-1.5138,0.0184,6.15808,5.85025,,https://mof.tech.northwestern.edu/mofs/173929.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
